gene	baseMean	log2FC	lfcSE	stat	pvalue	padj
Cdkn1a	13418.534953313	5.06437548444692	0.260318956951244	19.4545012924105	2.66937078499843e-84	5.04404303533304e-80
Inka2	1411.0499544287	3.63411409537956	0.199433563154333	18.2221790449949	3.44172295225783e-74	3.2517398452932e-70
Psrc1	444.890378500348	6.32232646779376	0.35620367103036	17.7491895282991	1.74859286529302e-70	1.10138035941923e-66
Ccng1	13115.8494948174	2.11852634535471	0.128872300311225	16.4389581022337	1.0063416960656e-60	4.7539581722139e-57
Eda2r	819.41657299321	4.90620016612142	0.32922466804752	14.9022860140397	3.18493260825032e-50	1.20364973130996e-46
Phlda3	5533.99426845971	3.17101782579857	0.22511843513348	14.0859979944262	4.63070383886359e-45	1.45836299565277e-41
Col5a3	972.465231004604	4.21783541036564	0.31605355206943	13.3453188004009	1.26129827858349e-40	3.40478461030195e-37
Gtse1	231.427226083492	4.10453717305487	0.342225158304306	11.9936745544731	3.83507029025858e-33	9.05843602559075e-30
Aen	2014.28888027101	2.44771121406758	0.211175025783718	11.590912348577	4.58225396073593e-31	9.62069676022957e-28
Tnfrsf12a	3605.93207455608	3.70541295043947	0.327460591797353	11.3155996271226	1.09848684820143e-29	2.07570074836142e-26
Cox6b2	559.000408972325	2.64129749759964	0.239393945412665	11.0332677505548	2.6409141192934e-28	4.53661029074254e-25
Sema3g	110052.91152012	-2.5924919153719	0.257015731943448	-10.0868997230969	6.31319851677136e-24	9.9411832644093e-21
Arhgap20	429.77398914293	3.81548680370104	0.379259016322449	10.0603720399282	8.26852824699693e-24	1.20186238273272e-20
Ly6c2	1598.42298705613	1.71357112423521	0.172918044283463	9.90972996101071	3.77665539934067e-23	5.0974057447101e-20
Ly6c1	14841.0041478976	1.74634959967036	0.17679282583766	9.87794381019702	5.18866272336995e-23	6.53633138805323e-20
Zfp365	375.781171213753	3.27951553412165	0.33865369490206	9.68397978079081	3.52712320086124e-22	4.16553250021712e-19
Maff	1306.23895712301	3.20056933436962	0.337584201612153	9.48080306804974	2.52333538562695e-21	2.80476149687099e-18
Tmem178	1154.6550007869	2.02990191196412	0.215418150421137	9.4230774333347	4.38056843141691e-21	4.59862339333633e-18
Top1mt	5853.90001273067	-2.23386197287509	0.238105906320726	-9.38179992001587	6.48559620712728e-21	6.45009610157248e-18
Aldh1a1	732.752355918362	3.54660013495566	0.381622153299218	9.29348598946477	1.49316055782845e-20	1.41073809503632e-17
Zmat3	2511.05193142839	1.5692890783528	0.170302422914616	9.2147196234524	3.12092857672445e-20	2.80824125646596e-17
Col1a2	14379.2735520362	-2.1375921032728	0.233251096503717	-9.16433892622122	4.98515813065904e-20	4.28179763804242e-17
Lpar1	123.44464381429	3.36663524468772	0.373129204011602	9.02270636683542	1.83498909984908e-19	1.50756321872818e-16
P2rx5	250.837214259376	4.00167874581507	0.443742519109264	9.01801962509191	1.91520023076908e-19	1.50790098169219e-16
Ly6a	11289.3395090977	2.11217570158995	0.235866848924342	8.95494941837908	3.39891424786017e-19	2.56903534510263e-16
Ankrd44	9065.98183358428	-1.06040451220918	0.118541429852419	-8.94543379077977	3.70491710041681e-19	2.69261975113369e-16
Thsd7a	28261.3921094357	-2.65279742105058	0.297517567789848	-8.91643959298696	4.8151923634141e-19	3.36992129255825e-16
Pamr1	801.032167742589	1.42222985317885	0.160154956749287	8.88033615722098	6.66586098256548e-19	4.49850389737705e-16
Magi2	8903.40751655826	-2.35912525129824	0.266326121348762	-8.8580317970722	8.14394900464933e-19	5.3064848410984e-16
Ube2ql1	964.603143486209	-2.47275542882645	0.280030781113442	-8.83029865143546	1.0439659762136e-18	6.57559369551075e-16
Slc19a2	1035.22318037863	2.18117948755272	0.247361974213317	8.81776390445423	1.16768140703237e-18	7.11758318299473e-16
Serpina3h	2580.46932078815	2.45022181880483	0.279394761198819	8.76974861050182	1.79065625289074e-18	1.05738251733198e-15
Mybl1	550.730429262463	1.7999637301633	0.206473002428549	8.71767111918754	2.83982423391807e-18	1.62610056739745e-15
Anxa3	7805.15476485111	1.99805264232404	0.23202083088626	8.61152265808202	7.20964860145036e-18	4.00686823450018e-15
Aifm3	3080.89446434501	-2.33944008868539	0.272848568171287	-8.57413364623837	9.98354433564011e-18	5.38997296475016e-15
Pard3b	13291.5792230883	-2.00682280357607	0.234676033325763	-8.55146039046227	1.21540785521652e-17	6.37954078671429e-15
Lgals1	2295.17051837506	1.79694746675978	0.21056453561851	8.53395117787257	1.41432544117298e-17	7.22299825308234e-15
Shisal1	934.869198729109	-3.08333456755958	0.362425071692226	-8.5075090229353	1.77709908544788e-17	8.68066285607961e-15
Mgat5b	491.568015226749	-3.21734120974336	0.378260664606295	-8.50561930115591	1.80628769462383e-17	8.68066285607961e-15
Wnk2	473.782135616198	-1.67766410402772	0.197288053569744	-8.5036274304092	1.83756622694319e-17	8.68066285607961e-15
Pnmal2	2258.68399969646	-1.3539155962588	0.159790880211303	-8.4730467375136	2.39056611079202e-17	1.10175944462258e-14
Tnfsf15	363.827782915712	2.31359189402615	0.273286822116307	8.46580115393022	2.54397871928344e-17	1.14454813999e-14
Wif1	3307.42539910795	-2.50623380085477	0.296395856401233	-8.45569783358264	2.77423168089485e-17	1.2191135312137e-14
Bbc3	758.739532597109	1.96023194282209	0.232248686054656	8.44022834368492	3.16718321513156e-17	1.36016122802559e-14
Serpine1	4890.73528321842	1.96550681971738	0.233816561381225	8.40619162349555	4.23538939194181e-17	1.7784870655585e-14
Peli3	1210.95563158209	-1.69569215336497	0.201857518496311	-8.40044089512554	4.4480538472315e-17	1.81666524922668e-14
Opcml	550.472334244912	-3.12278071835214	0.371821877161382	-8.39859327856805	4.51858947468532e-17	1.81666524922668e-14
Marveld1	19478.2310361594	-1.18633534566971	0.142209945637256	-8.34214049062201	7.29577014965475e-17	2.87210151558075e-14
Alas2	195.261956986361	-3.49285419524448	0.421127908792294	-8.29404587613594	1.09460206999826e-16	4.22114300299739e-14
Vegfa	54917.2359858944	-1.60679389727279	0.194659430677814	-8.25438506461183	1.52686334119556e-16	5.77032193904627e-14
Trabd2b	6259.47105538892	-1.4374663409959	0.174373248873364	-8.24361735692524	1.67080889778036e-16	6.19051077107015e-14
Ddias	122.269998264604	3.45527929335706	0.419786879383846	8.23103213332595	1.85607167032925e-16	6.74467890048875e-14
Gadd45b	2903.89888329006	2.25568299329597	0.275457037137126	8.18887408628106	2.63681219740638e-16	9.4009817513568e-14
Prrg4	238.422421766195	2.99936913670677	0.368532081459178	8.13869209114977	3.99570710185473e-16	1.39820150734531e-13
Rassf10	1751.9618223491	-2.39974999692753	0.299046623174217	-8.02466843281991	1.01800525117246e-15	3.49749585930089e-13
Smarca2	19695.1506519289	-1.48030740175231	0.185564203152725	-7.97733278618384	1.49529272182465e-15	5.04554486992833e-13
Cacna2d2	4581.08478801762	-2.57685396715973	0.323137771410381	-7.97447465182633	1.53030347950605e-15	5.07309027170989e-13
Slc26a7	617.373464125072	-1.98130709058404	0.249015723679966	-7.9565541537064	1.76896728239923e-15	5.76317340831307e-13
Mafb	21535.0334023698	-1.66080983015801	0.208938574764058	-7.94879467342716	1.88334901503695e-15	6.03182423527765e-13
Vash1	8490.4226587746	-1.31950081808307	0.166408898480205	-7.92926838729137	2.20440675586726e-15	6.94241167647796e-13
Glcci1	5844.41983171607	-1.84386091952536	0.234025478203994	-7.87888965627119	3.30303017760555e-15	1.01844182161221e-12
Ston2	3268.03447688713	-1.63141743655323	0.207100011729558	-7.87743768302446	3.34162748412136e-15	1.01844182161221e-12
Myl12a	31052.0043006362	1.38988998864308	0.176630085956457	7.86893116830456	3.57683889254655e-15	1.0728245668819e-12
Astn2	2720.59371215489	-1.92390013934415	0.244574943159358	-7.86630107929982	3.6528081344683e-15	1.07849160170176e-12
Fam81a	3104.37561817299	-1.37055311503243	0.174996751574952	-7.83187746456776	4.8063786088068e-15	1.39725123372328e-12
Cdsn	67.8964468744902	3.74868683270821	0.480382251952374	7.80354981365936	6.01896311137223e-15	1.72324737806803e-12
Ulbp1	126.150383420652	2.46287662737493	0.316541182313989	7.78058832462409	7.21880460763661e-15	2.00836549152052e-12
Arl4c	4715.98663447916	1.58297148395283	0.203455320671087	7.78043788056998	7.22739486787655e-15	2.00836549152052e-12
Mt2	617.125836217244	3.31601958357185	0.427983158341484	7.74801418920795	9.33407124624104e-15	2.48545356061741e-12
Tent5b	173.304909884921	4.47529156654808	0.577742940579617	7.74616399822777	9.47101737303375e-15	2.48545356061741e-12
2200002D01Rik	271.59446893368	2.33843089778517	0.30192072067267	7.74518188938875	9.54451180106738e-15	2.48545356061741e-12
