comparison	n_genesets_tested_joint	exclusive_NES	exclusive_pval	exclusive_FDR	exclusive_size	top50_NES	top50_pval	top50_FDR	top50_size
baseline_B_vs_A	1292	1.70930237214914	0.0104561739527137	0.0577323792602826	12	2.41447864229244	1.03067766676015e-07	6.65817772727057e-06	49
ADR_B_vs_A	1292	-2.22041449258978	9.48027695116825e-06	9.35001360374762e-05	12	-2.04381786595188	6.20792762953541e-05	0.000527673848510509	49
A_ADR_vs_Ctrl	1292	-1.66657366994568	0.00989463408655566	0.0887768558321521	12	-2.27752503448124	6.01613912459198e-07	4.85803234310802e-05	49
B_ADR_vs_Ctrl	1292	-2.23039961109772	9.96251221901907e-07	1.76322818999625e-05	12	-2.70325974944541	1.34541548333753e-12	1.73827680447209e-10	49
