comparison	dataset	NES	pval	padj
baseline_B_vs_A	A1_excluded_main	1.19645495578712	0.1995841995842	0.1995841995842
baseline_B_vs_A	A1_included_sens	1.09711045516117	0.324902723735409	0.324902723735409
ADR_B_vs_A	A1_excluded_main	-1.90712774847297	0.00218127679291936	0.00218127679291936
ADR_B_vs_A	A1_included_sens	-1.31687039135036	0.120582120582121	0.120582120582121
A_ADR_vs_Ctrl	A1_excluded_main	-1.53179518444072	0.0357017064708929	0.0357017064708929
A_ADR_vs_Ctrl	A1_included_sens	-2.10067874373687	0.000475423942001784	0.000475423942001784
B_ADR_vs_Ctrl	A1_excluded_main	-1.95172046453632	0.00078115665214775	0.00078115665214775
B_ADR_vs_Ctrl	A1_included_sens	-2.02498996438544	0.000590323021754458	0.000590323021754458
