gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0610005C13Rik	682.363746530841	-0.569861568781812	0.860630097597913	-0.66214459658376	0.507878557095401	0.780828508388251
0610009B22Rik	495.228739326417	0.112864217974873	0.210118418758947	0.53714576114507	0.591166933336219	0.828354848074186
0610009E02Rik	16.5986032912276	0.465101997968232	0.754748626058657	0.616234308894371	0.53773988768974	NA
0610009L18Rik	108.586006392866	-0.514781105953615	0.359163794174163	-1.43327672305408	0.151778771313175	0.495458522517679
0610010F05Rik	1290.7616487343	0.396691763705529	0.179133639548688	2.21450178037448	0.0267942803698396	0.225220563220705
0610010K14Rik	1259.84265375726	0.26153642734116	0.152160655210551	1.71881769948521	0.0856475716421924	0.384629274848856
0610012G03Rik	1126.40578797703	0.00249648876127447	0.148418947953106	0.0168205528721525	0.986579773395145	0.995244076036282
0610030E20Rik	2820.74316584988	-0.395341011513846	0.141472311570892	-2.79447622735519	0.00519838626769945	0.0947056907286671
0610031O16Rik	7.23378088957008	1.54323293540927	2.18426861897076	0.706521588968508	0.479863831829938	NA
0610038B21Rik	10.9251776342458	-1.15378015702809	0.957504630046262	-1.20498650431836	0.228208511865929	NA
0610039H22Rik	10.9132481085653	-2.0514140937436	0.899523924375462	-2.28055534505977	0.0225747722678405	NA
0610039K10Rik	19.0508979086795	-0.296713797126199	0.627196332473314	-0.473079611221776	0.636156382356284	NA
0610040B10Rik	19.4198811909674	0.0800295032292467	0.704172001147434	0.113650504562579	0.90951484983342	NA
0610040F04Rik	7.32191367404482	-1.19398389713869	1.11771453841379	-1.06823688527227	0.285413670332578	NA
0610040J01Rik	424.116384661815	-0.634211849347061	0.341685681164799	-1.8561265054627	0.0634355285665873	0.337984521365074
0610043K17Rik	38.5031223628711	-0.338047755334865	0.450714224433823	-0.750026817457365	0.45323855343567	0.749320497383525
1110002E22Rik	14.9525038734779	-0.218055827978425	0.950877845782971	-0.229320547266377	0.818619784550584	NA
1110002J07Rik	7.70387373241828	0.688714532058703	0.97132081665309	0.709049492454849	0.478293764307522	NA
1110002L01Rik	115.825586666478	-0.444738859955711	0.348270323894162	-1.27699327058043	0.201604623068748	0.556655919808413
1110004F10Rik	2978.435427288	0.238131854362796	0.12834257053456	1.85543933997078	0.0635335139894442	0.338053660585592
1110006O24Rik	34.254276537683	0.585909257407356	0.502741297171389	1.16542894069753	0.243845408263344	0.595953962382971
1110008P14Rik	622.547224918176	0.0160156797629224	0.168136984224795	0.0952537589321211	0.924113270608267	0.973863087871674
1110017D15Rik	28.0342613164121	0.0104055825733727	0.675343414358437	0.0154078389633189	0.987706809581399	0.995834411388282
1110019D14Rik	112.702564542887	-0.261900006278156	0.459476998500858	-0.569995902151057	0.568680477456311	0.815260243763665
1110020A21Rik	35.6679962503983	0.0288096220912009	0.605900002083387	0.0475484766333373	0.962076095234286	0.9873249688162
1110028F11Rik	1.56672024821203	-2.44812323917741	3.57379504530045	-0.685020603628822	0.493330919582263	NA
1110032A03Rik	753.169169949545	0.0201661282793321	0.147206849819915	0.136991779282026	0.891037293032378	0.962241742156082
1110032F04Rik	2.12589068215667	3.4985907888597	2.68745903920038	1.30182106511311	0.19297756100169	NA
1110038B12Rik	248.303055052206	0.442008395470946	0.320084909761776	1.38090982108439	0.167306689860201	0.515075379642948
1110038F14Rik	1219.28357981761	0.00253616618139848	0.104297925600299	0.0243165543974271	0.980600108535756	0.993535303392782
1110046J04Rik	77.3407789790647	0.587124905359406	0.407371520470949	1.44125172196782	0.149513581039701	0.492049800279928
1110051M20Rik	767.337918557105	-0.241645867582284	0.193362393005411	-1.24970457712282	0.211407484697032	0.567419541347291
1110058D11Rik	2.2944123611233	-0.872682727597075	2.43866838638908	-0.357852150980336	0.720453960523042	NA
1110059E24Rik	579.178569299362	0.389299755873629	0.189294433530467	2.0565832212439	0.0397263335679825	0.271374170458383
1110059G10Rik	901.667828923576	0.448251762683028	0.182593320510625	2.4549187310329	0.0140916441808564	0.160495657260366
1110065P20Rik	504.809077907316	0.0619564371326023	0.203267236719035	0.30480287001806	0.760516295522066	0.906882751512229
1190007I07Rik	117.285512056994	-0.165605250845964	0.361202171888323	-0.458483541170859	0.646605084520357	0.856067995774522
1300002E11Rik	858.698964809661	-0.287740279965788	0.172085127500356	-1.67208104584862	0.0945083416579802	0.403375291983251
1300017J02Rik	5.74737231502297	2.10091626573571	1.5556723626812	1.35048761945914	0.176859622288994	NA
1500004A13Rik	23.2414504822401	-0.253703102166582	0.577262602807623	-0.439493396822607	0.66030406556661	0.863893579719918
1500009L16Rik	211.833811844868	0.0268972417556568	0.337325440759748	0.0797367719881338	0.936446612732953	0.978098659246425
1500011B03Rik	461.551757499536	0.367210285140377	0.241576049568231	1.52006080816659	0.128495693471809	0.46181182623222
1500012K07Rik	0.917006012287017	1.53125427731433	4.42675420368375	0.345909035572856	0.72941107795351	NA
1500015A07Rik	131.871162346283	-0.539196112043258	0.257489005887934	-2.094054890553	0.0362550908264961	0.259143704629058
1500015L24Rik	0.931167056792863	1.42672318206707	4.40902128296351	0.323591811085137	0.746247088484902	NA
1500026H17Rik	28.3495520347522	-0.164461101018522	0.681299140053029	-0.241393378253379	0.809250244423508	0.926702990055414
1500035N22Rik	2.38680337207988	2.27608388990054	2.17229409667055	1.0477788865647	0.294740492251623	NA
1600002D24Rik	0.96617503152046	1.49075390085004	4.36152408307912	0.34179655378576	0.732504003250702	NA
1600010M07Rik	6.04683426966577	2.63441152772561	1.87571569692799	1.40448338308422	0.160174956451632	NA
1600012H06Rik	2202.58060749866	0.114696542080849	0.132063629968916	0.868494543939506	0.38512365787466	0.708000984829266
1600012P17Rik	1.15780373452801	4.5554194677553	4.61850100949218	0.986341555061429	0.323965534483932	NA
1600014C10Rik	1310.34884812035	-0.144863463557367	0.198380551145508	-0.730230169847206	0.465249503993689	0.755279171604197
1600020E01Rik	489.43255273115	-0.0503153115850168	0.207002605762452	-0.24306607832153	0.807954208851538	0.926702990055414
1600023N17Rik	10.7796324355809	0.0283589631772648	0.783313702368052	0.0362038390130701	0.971119824908146	NA
1600027J07Rik	4.06093326160476	-0.503015637771178	1.63736836542609	-0.307209818140268	0.758683672853772	NA
1600029I14Rik	1.16901047685533	2.99956504924742	4.65416121916184	0.644491006649658	0.519257087567921	NA
1600029O15Rik	2.90798923522577	0.0708323786959295	1.71360739767478	0.041335243295543	0.9670286369827	NA
1700001C19Rik	9.86977277925629	1.09878351724589	0.993786417634814	1.1056535868753	0.268876486223674	NA
1700001D01Rik	3.49538570952305	-5.31564052723052	2.07508644374209	-2.56164775364471	0.0104176918009977	NA
1700001G11Rik	9.01123269557667	-0.838069670909094	1.19720030437024	-0.700024605615131	0.483911938178266	NA
1700001G17Rik	16.0171941603561	-0.0588924106068169	1.053819672599	-0.0558847136166785	0.955433648564573	NA
1700001J03Rik	6.4138646338443	-0.24745037357818	1.13648509926448	-0.217733055838854	0.827637106674036	NA
1700001J11Rik	0.858485805744212	-3.30231090800382	3.80582440760957	-0.867699230001522	0.385559007509077	NA
1700001K19Rik	83.3479546999524	-0.572677333892015	0.280122614768178	-2.04438093784733	0.0409159289643451	0.274822706058824
1700001K23Rik	4.8246988463202	-0.519585337886864	1.53893772398653	-0.337625967437401	0.735645070947663	NA
1700001L05Rik	203.754870650052	-0.193778839396153	0.351593677901125	-0.551144265599246	0.581534782951807	0.821276141940296
1700001L19Rik	8.00519876946163	0.768798799972563	1.09643089888464	0.701183084820605	0.483188764697507	NA
1700001O22Rik	16.8406301386332	1.56027547052345	0.707511083769499	2.20530180560645	0.0274329232318036	NA
1700001P01Rik	11.3805267526681	-0.393392195711269	0.80166989815574	-0.490715937590119	0.623627372578565	NA
1700003D09Rik	1.41247498271219	-1.12651077254801	2.61575375451613	-0.430663922627682	0.666712754779936	NA
1700003E16Rik	64.0384362828918	-0.363117596680763	0.602511019480777	-0.602673785109664	0.546725724252954	0.801526405792321
1700003F12Rik	25.7685806162833	-0.158345154842095	0.864020080463455	-0.183265595814809	0.854589627748479	0.946518365106282
1700003G18Rik	1.42368900010311	1.50742497420537	3.62454955312861	0.415893051566699	0.677488264237819	NA
1700003M07Rik	21.7421127231711	0.829934106654984	0.825920962293098	1.00485899322708	0.31496475250136	NA
1700007F19Rik	3.45886565118363	-0.21849984589581	1.89997492488471	-0.115001436615837	0.908443983345474	NA
1700007J10Rik	111.033402828145	-0.308896481377602	0.3685864117554	-0.838057159802709	0.401998601650657	0.717827125125736
1700007K13Rik	38.4343171812612	0.282655433854752	0.603952789075438	0.468009153972872	0.639778043521527	0.853631316720264
1700007L15Rik	33.2542907072219	0.37830406908585	0.460189324374505	0.822061810321317	0.41104171923174	0.724038145185608
1700008J07Rik	204.467492665698	0.253672316155723	0.2535618154893	1.0004357937973	0.317099655135333	0.655888552862182
1700008O03Rik	9.92636802703658	-1.50053525764459	0.902705607571884	-1.66226424767733	0.0964598029898945	NA
1700009J07Rik	3.47072087194171	-1.04460206396855	2.07390949372039	-0.503687391919227	0.614481069666811	NA
1700010B08Rik	1.46851691332522	1.12675643474171	3.7658759598074	0.299201685548702	0.764786163290706	NA
1700010I14Rik	66.3123187611573	-0.398023813368404	0.468686924857799	-0.849231741400009	0.39575235425429	0.714893799985434
1700011L22Rik	3.07879904005315	-0.746578249116214	1.71656240041968	-0.434926367333739	0.663615874994705	NA
1700012B09Rik	0.911396328045941	1.93900801101521	4.71224097056027	0.411483203666613	0.680718254884176	NA
1700012D01Rik	35.2470250330426	-0.250721470974331	0.577727569091816	-0.433978720053923	0.664303894009927	0.865968627859558
1700012D14Rik	24.8513646583297	-0.569353214786601	0.853285942965748	-0.667247854579336	0.504613828401684	0.779102659289506
1700012D16Rik	1.93919570752035	-1.45076440564152	3.30552026535169	-0.438891396567241	0.660740230964344	NA
1700012I11Rik	3.74396474659012	1.4221254784549	1.94089635625221	0.732715826825994	0.463731768895837	NA
1700013F07Rik	0.889398432923796	0.427232364201859	3.40002457187565	0.125655669590109	0.900004494179942	NA
1700013G24Rik	1.08042125480552	-1.38715138090721	4.45540196407538	-0.311341466402366	0.755541046983193	NA
1700016A09Rik	12.5427866086131	0.125753134023838	0.770246506137331	0.163263491650836	0.870310977618297	NA
1700016C15Rik	66.1004102786589	-0.543206786664093	0.673709257245949	-0.806292597024218	0.420074158032953	0.730842544735357
1700016D06Rik	1.1138151769367	0.197493937628239	4.37746602599135	0.0451160412109682	0.964014815404167	NA
1700016G22Rik	5.03143980443466	0.868716217286285	1.39155976940216	0.624275174080018	0.53244688497811	NA
1700016H13Rik	4.72790856972743	-0.785234870227968	1.37120493989565	-0.572660473559646	0.566874605196736	NA
1700016K05Rik	3.79549003217388	-1.41043151691207	1.57763409826613	-0.894016881647132	0.371312858829464	NA
1700016L04Rik	2.99618158438069	0.122761101854959	2.20560571382764	0.0556586796476498	0.9556137173101	NA
1700017B05Rik	740.966606833534	0.359836466068634	0.212170851085829	1.69597503251316	0.0898906085070934	0.393319871271436
1700017L05Rik	0.934177245049228	4.24700533909058	4.28237624227426	0.991740356012041	0.32132419941371	NA
1700017N19Rik	1.31977814693374	1.90415544155041	3.43037699051706	0.555086349638616	0.578835599090684	NA
1700018B08Rik	2.04964947617007	5.26665208798347	2.90601790195465	1.8123260990378	0.0699358241580544	NA
1700018L02Rik	17.8338847792012	-0.741999579815994	0.75989625246939	-0.976448531499875	0.328842241496117	NA
1700019D03Rik	12.1728904031446	1.59047756027772	0.963861871605976	1.6501094266004	0.0989205570816381	NA
1700019N19Rik	6.31769807589957	-0.081669614314381	1.42858491376209	-0.0571681903733037	0.954411217108722	NA
1700020A23Rik	3.1524755224454	-2.44082195922893	2.4809618819513	-0.983820822474384	0.325203619363429	NA
1700020D05Rik	56.0598688919836	-0.212958534370054	0.558210570494218	-0.381502152819336	0.702830674065835	0.8818935071403
1700020L24Rik	327.228821758618	0.036062906223185	0.16992911495822	0.212223233387943	0.831932881921511	0.936952061500726
1700020N01Rik	2.8249572476799	2.02267531965994	1.98550166734915	1.01872254902733	0.308334704348085	NA
