comparison	a1_status	pathway	NES	pval	FDR_joint	size	pass_FDR0.05
baseline_B_vs_A	A1_excluded_main	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	-2.50417750938653	3.69060932739806e-16	5.96494732540711e-14	193	TRUE
ADR_B_vs_A	A1_excluded_main	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	1.92803997052286	8.1432218653544e-07	9.48575303775067e-06	193	TRUE
A_ADR_vs_Ctrl	A1_excluded_main	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	-1.36174305061543	0.0125221371489309	0.104458860216566	193	FALSE
B_ADR_vs_Ctrl	A1_excluded_main	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	2.05579229535058	4.10045279422101e-09	1.23299661928553e-07	193	TRUE
ADR_B_vs_A	A1_included_sens	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	-2.03913438399921	2.80508522115587e-08	1.09993341702294e-06	193	TRUE
A_ADR_vs_Ctrl	A1_included_sens	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	2.15520079587661	2.84282333115255e-11	1.8393066952557e-08	193	TRUE
