comparison	gene	logFC	PValue	FDR	log2FC	pvalue	padj
baseline_B_vs_A	Col4a1	0.322399372317215	0.101861089614275	0.758721246030845	0.336397585966081	0.11657416192792	0.654834926361678
baseline_B_vs_A	Col4a2	0.386004754494273	0.0566958043964119	0.604791010583923	0.399944477943792	0.106652650848434	0.638502704498283
baseline_B_vs_A	Glp1r	2.98931735105184	8.08371638065269e-18	8.88130973021042e-15	3.0068089129281	8.64963472187419e-19	1.30601620996008e-15
baseline_B_vs_A	Loxl1	0.671170559983195	0.00833003234708968	0.281399603685731	0.683319200751127	1.67644823805169e-05	0.00515632014551863
baseline_B_vs_A	Nlrp1b	-3.44122217755866	2.20352714382303e-13	1.93675345761085e-10	-3.44749421988812	5.48250883574605e-09	3.50226881741946e-06
baseline_B_vs_A	Nphs1	0.214716663540162	0.270005535555886	0.950262023855681	0.225523710125717	0.333091917433883	0.79363098367761
baseline_B_vs_A	Serpine1	0.506218933304189	0.00989963692694244	0.307822672747191	0.515459686386749	0.0278959990085311	0.452083698720883
baseline_B_vs_A	Tmem215	3.37844699418728	1.45427302134629e-27	2.73901935906135e-24	3.38690013347128	2.50234773853392e-21	5.19518669866374e-18
baseline_B_vs_A	Wt1	0.127159790404055	0.483726712239774	0.997015285997056	0.137913582435241	0.497284336911614	0.869260939065637
ADR_B_vs_A_A1excluded_main	Col4a1	0.95989739482138	0.000139362421664458	0.0140185926883384	0.971221341759795	5.05429183852242e-05	0.00447670198203585
ADR_B_vs_A_A1excluded_main	Col4a2	1.20361885342678	2.79171836523358e-05	0.00487742584915414	1.21594677370952	1.1421314758967e-05	0.00152466935720211
ADR_B_vs_A_A1excluded_main	Glp1r	1.16370257584733	0.0211470522011919	0.277677780276466	1.17535141460087	0.00242114844172795	0.0587616813759189
ADR_B_vs_A_A1excluded_main	Loxl1	1.36579520772706	1.02208651260664e-07	5.30038806070164e-05	1.37491681647398	4.62866711410807e-15	4.86109232705221e-12
ADR_B_vs_A_A1excluded_main	Nlrp1b	-2.57792399723821	1.76826093306095e-05	0.00378693043051344	-2.57359995780037	5.49097454168562e-05	0.00474723263949861
ADR_B_vs_A_A1excluded_main	Nphs1	-0.786469519626897	0.00232136047892662	0.0897051300344569	-0.780471569193716	0.00273901881063047	0.0638221768188587
ADR_B_vs_A_A1excluded_main	Serpine1	1.82683135229585	9.93141819220097e-12	1.0143797750465e-08	1.83987996190609	1.96594975204294e-12	1.70031524731102e-09
ADR_B_vs_A_A1excluded_main	Tmem215	3.07410651211497	7.19904532550449e-12	7.96574365267072e-09	3.08259927788894	1.28026990119473e-14	1.25492055715108e-11
