gene	logFC	logCPM	PValue	FDR
Serpina3g	2.61578983200282	5.47761100012078	1.49688993483509e-26	7.09151606628126e-24
Zfp365	3.28546061923263	3.25363344825846	2.95861339690244e-25	1.35331057620382e-22
Gbp2b	2.43929754297407	5.89646576764959	3.37819338270985e-25	1.49372450738821e-22
Gtse1	4.10885702043703	2.60081790116132	5.37234223198275e-25	2.29884257120165e-22
Gbp2	2.30310849769009	6.08738309685436	7.86911971098794e-25	3.26199603019547e-22
Creg2	-3.57102759450515	3.4486995761123	2.01483058074767e-24	8.09900837988421e-22
Lgals3	3.06276341403846	4.03480208748842	2.47474636562461e-24	9.65515015882661e-22
Nfkbie	1.71598072947015	5.85167697122677	3.38396275144913e-24	1.28252188279922e-21
Arhgap20	3.81970442553649	3.43872200948696	7.72417331278219e-24	2.84614330539044e-21
Rassf10	-2.39216321303386	4.98446505972144	1.64301938556648e-23	5.89044652690254e-21
Mafb	-1.65364008573043	8.77244102896966	2.89503391054773e-23	1.01059539008989e-20
P2rx5	4.0059586242243	2.9287986865346	1.0562086298793e-22	3.59246345521766e-20
Cox6b2	2.64836027315703	3.7410292966312	1.48338323178859e-22	4.91926964241892e-20
Aldh1a1	3.55056677704672	4.44764017846088	1.81276432593417e-22	5.86495580085775e-20
Anxa3	2.00438136921318	7.76193679226322	2.96792872428257e-22	9.3737082208591e-20
Mgat5	-1.54208605846925	7.3270006357763	1.19148711177802e-21	3.59731828819815e-19
Maff	3.21049306077772	5.27842406181648	1.19323034060097e-21	3.59731828819815e-19
Lgals1	1.80399172047717	5.964018318464	1.70601600255975e-21	5.0289560608789e-19
Col1a2	-2.13001501899897	8.11894414562687	3.38598356113375e-21	9.76414607357375e-19
Arl4c	1.58944264444491	6.86723284369856	6.91297821246005e-21	1.95107778698474e-18
Smarca2	-1.47260416638231	8.53128851372911	1.19705155535424e-20	3.30810185036957e-18
Ptprt	6.31439164873959	0.265291875509865	1.24030489153244e-20	3.35768252779138e-18
Ston2	-1.62312979688715	6.14579172190619	3.86637667696802e-20	1.02574973239962e-17
Trabd2b	-1.43001941676388	6.79819701635809	4.81936917562763e-20	1.25350847283727e-17
Ube2ql1	-2.46423695369148	4.1593446132134	5.83930996255739e-20	1.48958551256392e-17
Vegfa	-1.59888935154486	10.1189839550744	7.8154398374319e-20	1.9560718762931e-17
Tmem178	2.03920940438316	4.71031970551268	1.31299996733176e-19	3.22536010493625e-17
Astn2	-1.91673202697414	5.80057939100244	1.37917947035013e-19	3.32633012258081e-17
Opcml	-3.11514661601869	2.85921073684857	1.4618249353502e-19	3.46269781561079e-17
Ly6c1	1.75420169398196	8.45643625834934	2.03995959869061e-19	4.74737966256683e-17
Glcci1	-1.83755506093444	6.84728849236095	3.58984294243587e-19	8.21021838472618e-17
Ddn	-2.6768339681516	8.86411110339756	3.80694972148671e-18	8.55918441619003e-16
Bax	1.54030412532447	6.60272499763715	4.78504092162634e-18	1.05789279708956e-15
Snx31	-1.77581036477086	6.06035795396346	6.26663235809388e-18	1.36273570869042e-15
Zmat3	1.57618318388431	5.86024843351896	1.03973493228488e-17	2.22452965754176e-15
Socs3	1.37870869412717	8.30799991209557	1.22004000445246e-17	2.5688620093749e-15
Ly6c2	1.72151460245147	5.24750446047634	3.55704139761256e-17	7.37252408427041e-15
Tent5b	4.47353387803076	2.37914773002624	4.25491002843194e-17	8.68328946571533e-15
Myl12a	1.39681243328979	9.61846271453008	4.56412056228416e-17	9.17319079677264e-15
Synpo	-1.51399024653711	10.960344841344	4.90013517606145e-17	9.70153628514255e-15
Plce1	-1.33429001668775	8.72227656225121	1.51256745545065e-16	2.95061872008131e-14
Ptprv	3.32808102814172	6.22264111910432	1.6391324417363e-16	3.15117273038146e-14
Adm	1.42232704802514	6.98120291452103	1.66896917641964e-16	3.16269658931522e-14
1700007K13Rik	5.06515327050923	-0.0410378132740653	2.11307973484544e-16	3.94788770179222e-14
