gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0610005C13Rik	857.631957075988	-1.58301164291416	0.849783265694473	-1.86284162894226	0.0624845511984341	0.268171691061528
0610009B22Rik	526.694295517305	-0.285022331815742	0.277834728765181	-1.02587006700892	0.304952833594967	0.617900217358064
0610009E02Rik	18.076495392278	-0.114000747458352	0.659016703586309	-0.172986127419791	0.862662331948595	0.953611805375918
0610009L18Rik	111.845810007719	-0.624564586279493	0.312212125314272	-2.00044948815107	0.0454517491086572	0.224737206221875
0610010F05Rik	1282.30784681372	0.386731621575323	0.162658209350079	2.37757210730745	0.017427035319591	0.130500319198033
0610010K14Rik	1318.92704831163	-0.0206518370828967	0.211390691717599	-0.0976951109582719	0.922174397876779	0.976824627131137
0610012G03Rik	1189.5235096288	-0.325899913291288	0.226365389671306	-1.43970734114659	0.149950215539319	0.428070955409409
0610030E20Rik	2783.97113578625	-0.27919637960129	0.153301801221312	-1.82122047736563	0.0685733489259528	0.282953528036937
0610031O16Rik	7.64472384666814	-0.73987917590539	1.83329047431082	-0.403579894333728	0.686521672974841	NA
0610038B21Rik	10.5098640644335	-0.926539064042064	0.826194341778891	-1.12145413880119	0.26209460240599	NA
0610039H22Rik	16.1369792270237	-2.84566972875767	0.797005236140638	-3.57045299041866	0.000356364408339868	0.0130778851591971
0610039K10Rik	18.1284357068228	0.101655783048833	0.615714726347405	0.165102081692741	0.868863634544237	0.955987527386525
0610040B10Rik	22.7605099937004	-0.458285712838734	0.618096212609149	-0.741447210789705	0.458422328192172	0.742576344258778
0610040F04Rik	7.21451799853544	-0.89876882272092	0.958450360943162	-0.937731216290103	0.348382557295392	NA
0610040J01Rik	479.295837410178	-1.14856726269608	0.386837593659283	-2.96912006878968	0.00298653875642887	0.0492131055601125
0610043K17Rik	44.0367921091336	-0.860454152899301	0.444810637445714	-1.93442800253245	0.0530605262830602	0.244955507693265
1110002E22Rik	13.8637822300158	0.301153167956898	0.954311372446652	0.315571182165424	0.752328014028194	NA
1110002J07Rik	7.73811936301164	0.723636645180677	0.778487192850683	0.92954213226148	0.35260820106374	NA
1110002L01Rik	111.843069223802	-0.184839039517638	0.353008393514343	-0.523610891167458	0.60054920479723	0.830002259411947
1110004F10Rik	3014.10208955166	0.147137843716872	0.13172557909907	1.11700282301443	0.263993118152068	0.575506659490404
1110006O24Rik	36.9338931385052	-0.0278573015224701	0.489634554725964	-0.0568940677360101	0.954629579921238	0.987924670724652
1110008P14Rik	643.107556726102	-0.225260726301011	0.204947795114239	-1.09911270904598	0.271718907098368	0.582001186479398
1110017D15Rik	28.8036824476689	-0.0920297642977271	0.565546650477867	-0.162727096376515	0.870733311522826	0.956664026272167
1110019D14Rik	114.770816451815	-0.387525882169494	0.40629296639809	-0.953808985681017	0.340180340132053	0.650763020350829
1110020A21Rik	38.2398683674147	-0.382795762177168	0.541893540755183	-0.706403995227004	0.47993693703905	0.757226905947538
1110028F11Rik	1.43469920184455	-1.86489900410719	3.43625534428793	-0.542712580194952	0.587327711180405	NA
1110032A03Rik	775.394700500691	-0.183908798496929	0.181029465586275	-1.01590532735281	0.309674471741629	0.622114195343252
1110032F04Rik	2.78633273221438	-0.719056581957988	2.09745666535373	-0.342823093242177	0.731731551711415	NA
1110038B12Rik	260.509694766015	0.118386164084555	0.324927454887506	0.364346448118833	0.715599319324169	0.891349756775239
1110038F14Rik	1243.51048572158	-0.104808588262595	0.120350876289909	-0.870858538745704	0.383831397582178	0.688933968932681
1110046J04Rik	76.1988228351833	0.602054302595839	0.345592872037066	1.74209120415906	0.0814924864615996	0.310460217354835
1110051M20Rik	753.995544752607	-0.136322925421864	0.185998845963304	-0.732923501303654	0.463605088397049	0.74591646783747
1110058D11Rik	2.26900120503948	-0.624878514519405	1.97261392975582	-0.316776894400597	0.751412897583222	NA
1110059E24Rik	586.718904610039	0.241858999154782	0.191042915651541	1.26599302743017	0.205515578577435	0.50606129421831
1110059G10Rik	927.182643237509	0.212689016839556	0.213899618159754	0.994340329680748	0.320057207651204	0.632249272636164
1110065P20Rik	511.833105365504	0.00780847595990575	0.182015349878246	0.0429000958717437	0.965781172327792	0.989583687272715
1190007I07Rik	131.522910048786	-0.687063493319135	0.394938750344079	-1.73967100650557	0.0819168031666635	0.311374028148891
1300002E11Rik	877.319079959112	-0.367628738423366	0.161491459619812	-2.27645932044238	0.0228185327034284	0.153269281763847
1300017J02Rik	5.60980688329861	2.07271693299455	1.26476775763053	1.63881228034913	0.101252360833223	NA
1500004A13Rik	21.4742441061715	0.283676765664511	0.711226998792974	0.39885545141838	0.689999715730455	0.879101120897512
1500009L16Rik	221.20077369904	-0.289559238294463	0.336924378298661	-0.859419077232184	0.3901093483203	0.693857566030241
1500011B03Rik	478.526984973409	0.0793049607992102	0.264061932896299	0.30032712375227	0.763927645843305	0.914132445536355
1500012K07Rik	0.842570855136456	2.11969675426438	4.11881911465989	0.51463701008861	0.606806697723221	NA
1500015A07Rik	137.305208347397	-0.668643762982592	0.226998989959831	-2.94558034421613	0.00322349417924662	0.051068349390296
1500015L24Rik	0.85561976285895	2.01809017817273	4.10945843301919	0.491084217316212	0.623366883750253	NA
1500026H17Rik	34.8745131286858	-1.0453360818533	0.666779301305905	-1.56773925016265	0.116941997606742	0.377715385762782
1500035N22Rik	2.188319545238	2.8625352935401	1.98628846202156	1.44114782332609	0.149542925274003	NA
1600002D24Rik	0.886685224789582	2.08005257973305	4.07304969213897	0.510686767153263	0.60957040817005	NA
1600010M07Rik	5.89161823951556	2.35422860351797	1.57085694683596	1.49869064032845	0.133953905963734	NA
1600012H06Rik	2220.30741008489	0.0883269015033824	0.11955731842452	0.738782892317427	0.460038841678412	0.74355001293831
1600012P17Rik	1.06167322717694	4.54312874971915	4.26717845056296	1.06466809446879	0.287026153114188	NA
1600014C10Rik	1365.87556671898	-0.386994923351576	0.226090585672922	-1.71168083889804	0.0869555016323175	0.321618681473317
1600020E01Rik	492.441569562324	-0.124003272252607	0.188653691642566	-0.657306364762531	0.510983944791244	0.778489063459238
1600023N17Rik	10.215991982877	0.369752130650976	0.694653647976854	0.532282716326131	0.594530201041992	NA
1600027J07Rik	4.0534048806307	-0.2872273891175	1.33601972395897	-0.214987386762803	0.829777152545526	NA
1600029I14Rik	1.07408856839316	2.9913016218462	4.30562279460929	0.694743075401626	0.487216327918232	NA
1600029O15Rik	2.66108727817906	0.656904778804732	1.64121115487367	0.400256101632028	0.688967897274813	NA
1700001C19Rik	9.05053790690203	1.68366526588125	1.00909400913238	1.66849198453658	0.095218101783038	NA
1700001D01Rik	3.20069788374826	-4.72757603068025	2.08326804422019	-2.26930761204561	0.0232496259619439	NA
1700001G11Rik	8.67542570174614	-0.620596710587953	1.03430827950226	-0.600011353371937	0.548498669080208	NA
1700001G17Rik	16.362665891086	-0.303300266855176	0.891178251444867	-0.340336253003746	0.733603318903805	0.898904894996843
1700001J03Rik	7.05496444726416	-0.619965898980703	0.907004253737813	-0.683531412808474	0.494271107669765	NA
1700001J11Rik	0.786792790981619	-2.71587998487128	3.52434765130666	-0.770605017885893	0.440941086027926	NA
1700001K19Rik	80.1649740549851	-0.244282677815243	0.349384241531533	-0.699180583372692	0.484439183309441	0.760889539131638
1700001K23Rik	4.59119736632194	-0.259037152669165	1.32393584356611	-0.195656877127392	0.844878739025841	NA
