comparison	n_genesets_tested_joint	identity_NES	identity_pval	identity_FDR	identity_size	ageing_NES	ageing_pval	ageing_FDR
baseline_B_vs_A	1292	1.17422742223253	0.239043824701195	0.444380750379776	24	-2.50417750938653	3.69060932739806e-16	5.96033406374786e-14
ADR_B_vs_A	1292	-1.85983109878001	0.00160383887460609	0.00904873286458984	24	1.92803997052286	8.1432218653544e-07	9.47841680183594e-06
A_ADR_vs_Ctrl	1292	-1.50177246671107	0.0453366137975965	0.236189133171349	24	-1.36174305061543	0.0125221371489309	0.105742491479861
B_ADR_vs_Ctrl	1292	-1.91217538052015	0.00065914514513655	0.00698459175970971	24	2.05579229535058	4.10045279422101e-09	1.26137738336513e-07
