comparison	n_genesets_tested_joint	podocyte_NES_joint	podocyte_pval_joint	podocyte_FDR_joint	podocyte_NES_single	podocyte_pval_single	integrin_NES_joint	integrin_pval_joint	integrin_FDR_joint
baseline_B_vs_A	1291	-2.50417750938653	3.69060932739806e-16	5.95572080208861e-14	-2.53633980298031	1.66089994419776e-15	1.83994473236359	0.00270871326226238	0.0225063640561009
ADR_B_vs_A	1291	1.92803997052286	8.1432218653544e-07	9.4710805659212e-06	1.95671187483641	4.44950427958091e-07	2.02596136426626	0.000119706143191271	0.000919884707499586
A_ADR_vs_Ctrl	1291	-1.36174305061543	0.0125221371489309	0.105660647446208	-1.36407687883355	0.00696208220533801	0.698993537676531	0.905144694533762	0.97078684252622
B_ADR_vs_Ctrl	1291	2.05579229535058	4.10045279422101e-09	1.26040108508079e-07	2.08745724975526	9.17271639224382e-09	1.49901029670137	0.0426229508196721	0.20230231436837
