gene	baseMean	log2FC	lfcSE	stat	pvalue	padj
Ubtd1	619.881363164538	3.63277366701785	0.157771070656991	23.0256006496643	2.58322307836711e-117	4.29047521085993e-113
Galk2	550.668650628355	7.26825777926786	0.369095176670227	19.6920963444661	2.52040019769615e-86	2.09306634417677e-82
Otud3	803.021949733417	-4.44096169117096	0.247472011598522	-17.9453088956808	5.22194223573116e-72	2.89104128644196e-68
Ppp1r3a	1304.15159891216	5.01370085552393	0.285069676653451	17.5876330109249	3.06411715986979e-69	1.27229804770693e-65
H2-Q6	169.706709876779	-7.96291206142241	0.636001012736844	-12.5202820466533	5.78292859042428e-36	1.92097321916714e-32
Arl2bp	1856.03290984223	-2.03904133821667	0.169962704611907	-11.996992768929	3.68441501759092e-33	1.01990748378613e-29
Oas1b	221.519875326611	3.04213919264789	0.273809264757098	11.1104319108655	1.11618321461876e-28	2.64838385880044e-25
Tmem215	759.562627022474	3.38690013347128	0.357204851762676	9.48167449786351	2.50234773853392e-21	5.19518669866374e-18
Oas1a	376.150871772429	11.517724900689	1.23285754126124	9.34229991318065	9.42638574548283e-21	1.73958712051916e-17
Serpina1b	1145.59845668376	2.28255874005955	0.246099534058185	9.27494133133907	1.77716819525903e-20	2.95169865550572e-17
Glp1r	196.498744088878	3.0068089129281	0.339702057581138	8.85131204190581	8.64963472187419e-19	1.30601620996008e-15
Zfp970	2736.38765752774	2.06766529709321	0.243813197553895	8.48053065969144	2.24169152145789e-17	3.1026878733245e-14
Glo1	5485.91362926263	1.0249045822729	0.138776934035398	7.38526607030732	1.52148820238316e-13	1.94387673487553e-10
Oas1g	88.6839275540196	8.99192963796658	1.31137957841899	6.85684738876851	7.03967634912159e-12	8.35157032018289e-09
Etfbkmt	1367.16074739238	1.87515703462504	0.279841170341595	6.70079042456862	2.07295164371834e-11	2.29531025670119e-08
Ctps2	923.38713217847	1.11204530948509	0.168609820703961	6.59537685789714	4.2417698892466e-11	4.40322225565605e-08
Scarb2	21963.5353621999	0.862544557711491	0.131600684965418	6.55425583794	5.5920026735015e-11	5.46338661201097e-08
Tcaim	1121.49569989793	0.865803877017434	0.13514224785015	6.40661148375647	1.48789324398875e-10	1.37291216052273e-07
Pla2g5	333.225806473152	1.39852181576738	0.221281882279652	6.32009182749065	2.61407919186637e-10	2.28511796303729e-07
Trim24	3894.76845350034	0.829262171341987	0.131625839415965	6.30014725848278	2.97362996981634e-10	2.46945100843398e-07
Ccdc158	281.392261270164	1.36642516567884	0.218770767842946	6.24592206331602	4.21307225407641e-10	3.33213890799786e-07
Wdr66	508.355406740845	1.10103633330912	0.17916337648547	6.14543192312751	7.97462106897289e-10	6.02047642429867e-07
Klhl21	2273.33661035067	0.757606249432844	0.123576725355234	6.13065484018148	8.75180923801157e-10	6.31994781017975e-07
Bmyc	995.413395446811	1.46795558030504	0.251186813562715	5.84407899238122	5.09378542227483e-09	3.39207280764086e-06
Man2a1	20463.7583141785	1.06687221175152	0.182568318606687	5.84368755703948	5.10577519363125e-09	3.39207280764086e-06
Nlrp1b	81.5261536863544	-3.44749421988812	0.591152075799632	-5.83182291159987	5.48250883574605e-09	3.50226881741946e-06
Resf1	7300.05119047244	1.23017798050701	0.225610056663435	5.45267351420503	4.96181176301022e-08	3.05224931747543e-05
Amd2	60.7420024325828	-1.85293192694694	0.341075574534648	-5.43261395799161	5.55344650851839e-08	3.29418546642793e-05
Serpina1a	125.17331788832	1.33120457470334	0.246664258424232	5.39682799286563	6.7829357406866e-08	3.88475102472634e-05
Mc4r	265.071321153517	-1.60933530149634	0.299679701295874	-5.37018454882749	7.8656107469252e-08	4.35466429652269e-05
Serpina1d	44.6843927107022	2.33299154888326	0.439423684588432	5.30920756141844	1.10102889986416e-07	5.89902870898187e-05
Fgf7	14.7977762688751	7.11153888054042	1.34459662867762	5.28897568896515	1.23003236823618e-07	6.38425237626084e-05
Cd53	539.414294077573	-1.43147138370139	0.280894877835045	-5.09611066863958	3.4670249802032e-07	0.000174496417867257
Rttn	1006.53296461617	0.796255765084733	0.159775269659141	4.9835983177086	6.24125775958142e-07	0.000304885441555552
Elovl6	654.446069636513	-0.755683114421271	0.152779424578649	-4.94623616043438	7.56621594293191e-07	0.000359049373131874
Igfbp2	247.816592506106	1.07115959663366	0.216934785168474	4.93770326322624	7.90479986799277e-07	0.000364696725020811
Oas1c	107.8612416704	1.43737604371546	0.292350821659441	4.91661366147914	8.80540821499725e-07	0.000395267635251052
Gm46840	1629.1601197736	0.916055270052611	0.189874065114651	4.82454130583592	1.40325834917055e-06	0.000613334682141414
Xpnpep2	346.102015081925	-1.48799904850384	0.310898655084142	-4.78612250059788	1.70034298200605e-06	0.000724128117644578
Zfp809	1599.40852811837	0.774714154101991	0.164359316174333	4.71353965284369	2.43450323178549e-06	0.00101086660441813
Zfp445	7047.42670435013	0.599169778339255	0.13004446021751	4.60742254869675	4.07690984484536e-06	0.00165154623446431
H2-Ea	405.969138257041	1.17859649927917	0.258451006687059	4.5602317993919	5.10971856011909e-06	0.00202065037059566
Oxtr	288.934252898676	0.892699603237018	0.197604808045341	4.51760061947575	6.25443097069441e-06	0.00241581032540148
Slc43a3	12020.3634672418	0.48256591689823	0.106949886641796	4.51207506665692	6.41964582759116e-06	0.00242327039887413
Cd74	1145.53748721269	1.24374837829322	0.276056083181272	4.5054192030846	6.62420406744651e-06	0.00244492011902709
Rtn4rl1	5067.02834012509	0.567139168639164	0.127116151654025	4.46158227148632	8.13567001103052e-06	0.00293750746115665
Mogat2	77.5524223692139	-2.59042806093909	0.587642898313123	-4.40816704902778	1.04249127428955e-05	0.003683986718016
Rgs17	534.595587139781	0.874683222126076	0.199217578222478	4.39059258691151	1.13042168789702e-05	0.003911494544642
