comparison	pathway	NES_A1excl	pval_A1excl	NES_A1incl	pval_A1incl
baseline_B_vs_A	EXCLUSIVE	1.76616911104457	0.0162955549920701	1.79188554875103	0.00967973322661888
baseline_B_vs_A	TOP50	2.40998307223724	7.81137075476123e-07	2.37971699072477	2.37360788029449e-06
ADR_B_vs_A	EXCLUSIVE	-2.23344311695656	6.70739644953789e-06	-1.85811429918234	0.00158924555221167
ADR_B_vs_A	TOP50	-2.06372818417499	5.21459836328167e-05	-1.8311322106315	0.000406304486647819
A_ADR_vs_Ctrl	EXCLUSIVE	-1.69344342088722	0.0164197012325797	-1.97181873555657	0.00149219798651088
A_ADR_vs_Ctrl	TOP50	-2.31480084903747	8.42363245354875e-07	-2.26693946157834	1.99936159842625e-06
B_ADR_vs_Ctrl	EXCLUSIVE	-2.24381228716505	2.13146192516516e-06	-2.26774944859286	2.91703413987269e-06
B_ADR_vs_Ctrl	TOP50	-2.75376987079245	3.90702459333288e-12	-2.71650107654946	6.52796464558806e-12
