pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_SUMOYLATION_OF_UBIQUITINYLATION_PROTEINS	0.230407523510972	0.540695239424822	0.110122263835536	0.356446057393218	1.17393061469769	36	Aaas;Mdm2;Pml;Nup160;Pom121;Nup155
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	0.230769230769231	0.540695239424822	0.160801401070022	-0.267890399903628	-1.12959856217565	74	Pmepa1;Mtmr4;Ltbp4;Tfdp1;Fkbp1a;Nedd8;E2f5;Rps27a;Wwtr1;Smurf2;Ubb;Ube2d3;Prkcz;Ube2d1;Uba52;F11r;Strap;Ltbp3;Tgfbr2
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	0.231404958677686	0.541202539226255	0.11331290842208	0.428488585194195	1.20454542478429	18	Syt1;Cplx1;Ppfia3;Syn2;Tspoap1
REACTOME_DIGESTION	0.231932773109244	0.541456076101327	0.114266502484433	0.455730415822735	1.2061064740092	15	Gucy2c;Pnlip;Chit1;Pnliprp1;Cel;Alpi
REACTOME_XENOBIOTICS	0.23240589198036	0.541581239253872	0.112378519110475	0.419507772936663	1.21247038851554	20	Cyp2d22;Cyp1a2;Arnt;Cyp2c55;Ahr;Cyp1a1;Cyp2b10;Cyp3a57;Ahrr
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	0.233190271816881	0.5424299836317	0.103576326612592	0.285892030584065	1.13159012571471	94	Aldh1a1;Cyp1b1;Ephx1;Cyp4a14;Cyp2d22;Cyp26a1;Cyp4a10;Ptgis;Cyp24a1;Cyp4a31;Cyp4a32;Aldh1b1;Fmo3;Cyp4f39;Aoc2;Cyp1a2;Arnt;Smox;Cyp2c55
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS	0.234458259325044	0.544398584152216	0.117249716749792	0.635986512306167	1.23799821489484	5	Grin2a;Grin1;Grin2d
REACTOME_TGFBR3_PTM_REGULATION	0.235099337748344	0.544907082644726	0.112378519110475	0.505116940019861	1.20945820523786	10	Mmp14;Timp2;Timp1;Mmp16
REACTOME_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION	0.237373737373737	0.549192643278665	0.142056643575821	-0.478157639407596	-1.22760235638606	11	Stag2;Smc3;Esco1;Stag1;Esco2;Rad21;Pds5b
REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE	0.238317757009346	0.550390383361477	0.107554375265169	0.353074543736562	1.17092145194446	37	Mapkapk3;Mdm2;Fos;Mapk8;Ezh2;Mdm4;Kdm6b;Jun;Cdkn2b;Mapk10
REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS	0.239709443099274	0.552615876859218	0.138022242496643	-0.518448907209047	-1.23118184700696	8	Vegfa;Vegfb;Vegfc;Flt1
REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA	0.240944881889764	0.554208247268746	0.107554375265169	0.364857450067649	1.17332018709588	32	Irf7;Tnfaip3;Nfkbia;Nfkb2;Ikbke;Rela;Nkiras2;Nlrx1;Irf3
