hit_position
27
49
201
282
652
872
1079
1581
1767
2014
2207
5708
6937
10568
10830
11105
11937
12858
14190
15070
15272
16408
16570
17374
17630
17771
17805
18008
18231
18489
18646
18958
19060
19228
19326
19347
19403
19411
19433
19442
19450
19457
19467
19497
19518
19539
19547
19548
19642
