rank_position	gene	stat
198	H2-Q2	5.51378987213987
199	Inhbb	5.50888364243892
200	Creb3	5.50631333242634
201	Entpd1	5.49920831518283
202	H2-Q4	5.49626460807803
203	Gm10499	5.49218068387242
204	Exoc4	5.48998097662705
205	Zc2hc1a	5.48748520424528
206	Itgb1	5.46179772174487
207	Pappa2	5.43937718242963
208	Efna5	5.43609242035519
209	Eln	5.43416014625331
210	Myc	5.43338812353083
211	Necab1	5.43085063365196
212	Cdcp3	5.42984180984459
213	Zc3h12a	5.42621056869737
214	Prps2	5.42593668403982
215	Irf7	5.4076729933536
216	Lmna	5.40625291045502
217	Ptprv	5.40092262907007
218	Ly6e	5.3964127177379
219	Clic1	5.38643870168279
220	Asns	5.38136536482882
221	Gm6117	5.37396611860894
222	Irx3	5.37390959285026
223	Irgm1	5.36883828683829
224	Serpinb1a	5.36437530418037
225	Bok	5.35423575991641
226	Enc1	5.34947489725555
227	Ifit2	5.34542393055165
228	Il4ra	5.34536106252321
229	1700003M07Rik	5.33339675598464
230	Map3k8	5.32518682110087
231	Slc12a2	5.32140414762567
232	Aif1l	5.31855743821076
233	Cd44	5.31555236747425
234	Tpm4	5.3034521158174
235	Tlr2	5.30315091873986
236	Phc2	5.29596504979602
237	Prr13	5.28797114629586
238	Rhoc	5.25737583861367
239	Relb	5.24932586971742
240	Pdlim1	5.24315926772701
241	Vwde	5.239964977721
242	Col10a1	5.23581972679508
243	Ier5	5.21559001573004
244	Mrpl33	5.19789681652158
245	Vat1	5.1938307745356
246	Ckap2	5.19273762137608
247	Actg1	5.18815446114851
248	Dgkk	5.17957778364409
249	Igsf9b	5.16618259548233
250	H2-D1	5.16019830772462
251	Gm13056	5.14474271250062
252	Xaf1	5.13992389315378
253	Gm13387	5.12750453037029
254	H3f3b	5.12460223399335
255	Ccdc9b	5.12370643968878
256	Slc12a4	5.11502636806808
257	Glipr2	5.11033140291203
258	Bst2	5.1102746533708
259	Irf1	5.10990137024604
260	Ptgir	5.09025696485207
261	Dlk2	5.08934724162205
262	Nme1	5.08620261918526
263	Gm11127	5.0860125848716
264	Socs2	5.07778677698532
265	Pidd1	5.07752197737646
266	Ramp3	5.06150921595479
267	Fos	5.06000468839664
268	Col4a2	5.0544996304876
269	Ces2f	5.05005789772578
270	Ifit3	5.04581756236922
271	Carhsp1	5.03710753843474
272	Fbln5	5.03271968161203
273	Fosl2	5.02073576162769
274	Pspc1	5.01207444390423
275	Tuft1	5.008486531306
276	Ifitm3	5.0062727211562
277	Lrp8	4.99454295850858
278	Arpp21	4.98973949841647
279	Serpina3g	4.98785930836637
280	Sfxn3	4.98550671968309
281	Ilk	4.97828293952065
282	Dmbt1	4.97606873113163
283	1810073O08Rik	4.97207868385962
284	Akap12	4.96464610896294
285	Slc2a9	4.9535684250105
286	Commd3	4.95349132899115
287	Nrm	4.9502625635508
288	Gramd4	4.94012892291056
289	H2-T23	4.93847964641101
290	Armcx4	4.93318836914029
291	Sh3bgrl	4.92605324189193
292	Alpk2	4.92355666570029
293	Serpinb1c	4.91719405441684
294	Timp1	4.91577430999725
295	Sdhaf1	4.90755127449554
296	Dnah5	4.90000245406465
297	Ier3	4.89556747561496
298	Tbrg1	4.89283869528283
299	Mvp	4.88684705262576
300	Esyt2	4.8812393520938
301	Fbxo2	4.88057220167153
302	Bmper	4.87391059398965
303	Cilp2	4.8692173732286
304	H2-T-ps	4.85836878684928
305	Nexmif	4.85348658775682
306	Sync	4.85299260025912
307	Eif2s1	4.84724521619744
308	Sv2b	4.83559090078686
309	9230114K14Rik	4.82707783526177
310	Foxs1	4.81797741579307
311	Dbn1	4.81769971115136
312	Ube2m	4.81520799580009
313	Slc4a7	4.80521893785719
314	Actn1	4.80299092891967
315	Tmem64	4.8020467575612
316	Macc1	4.80032801566947
317	Ccn2	4.7997828214044
318	Wnt9a	4.79635918290426
319	Ltc4s	4.78206051081805
320	Camk2b	4.77655173638063
321	B2m	4.76870747369397
322	H2-Q1	4.76019295071272
323	Lgals7	4.75212059819963
324	Gprc5b	4.74678758350481
325	Syt11	4.74143644187463
326	Lrrc70	4.73823267987605
327	Galnt18	4.73391988102509
328	Cacna1s	4.72178325587071
329	Tbcc	4.71927002383923
330	Icam1	4.71730596328013
331	Mgmt	4.70990150254912
332	Ccn1	4.70950690998158
333	Egr3	4.70596884647181
334	Gm11351	4.70530858540981
335	Aaas	4.70102134493865
336	Klf6	4.69981139970983
337	Nkpd1	4.69860042519998
338	Ssu72	4.69709603969071
339	Psmb9	4.69640188873393
340	Tmem189	4.69629724624908
341	Rprm	4.69354747027634
342	Lasp1	4.68799015014391
343	Vps36	4.67902899310815
344	Cst6	4.67761122784253
345	Cib2	4.67515798041081
346	Ifi35	4.66989715067356
347	Cdv3	4.66883158643909
348	Mybph	4.66842605315718
349	Junb	4.66422230482383
350	Fat3	4.66220505488296
351	Cerk	4.65625333166065
352	Cd82	4.65507868030258
353	Psmd8	4.64930583977781
354	Tg	4.64756307472519
355	Col4a1	4.64753710024621
356	Cd68	4.64215417620276
357	Capn8	4.64086533328251
358	Jpt1	4.63923733414158
359	Ifit3b	4.62262513135267
360	Slc7a5	4.61510146285304
361	Chrnb1	4.60952840795954
362	Sphk1	4.60767183662285
363	Atg9b	4.60696901819145
364	Ifi47	4.58601542664241
365	St8sia2	4.58308450877568
366	Crim1	4.58219282960826
367	Emd	4.57953493488806
368	Abhd4	4.5617781711221
369	C130083M11Rik	4.55232057644904
370	Calr3	4.54629413654128
371	Runx1	4.54344944122682
372	Picalm	4.54094571388072
373	Rflnb	4.53710497642463
374	Cxcl1	4.53029108449738
375	Pkp2	4.52876215242024
376	Thsd7b	4.52397198852895
377	Gm13889	4.51611219651552
378	Msn	4.51454952064012
379	Pdk4	4.51031135655675
380	Birc3	4.50520451197935
381	9130409I23Rik	4.50480103375722
382	Cryab	4.50339781868297
383	Pdlim7	4.49843764716102
384	Zfp36	4.48936105693467
385	Kcne1l	4.48872572525984
386	Akr1b8	4.48397478904562
387	Angptl4	4.48389600875692
388	Arc	4.48357166961739
389	Cdc34	4.47636747576533
390	Lpar6	4.46939656141448
391	Psd2	4.46766504300629
392	Itpripl1	4.4621981790686
393	Gadd45a	4.459141746132
394	Nrip3	4.45369697969509
395	Palmd	4.45334208851316
396	Ank1	4.45148805291318
397	Rad23b	4.45134010885431
398	Psme2	4.45112072477236
399	Dusp27	4.44511895385346
400	Rhobtb3	4.44493623967296
401	Ctla2a	4.43996973394487
402	Tnr	4.43420885442336
403	Atp13a3	4.43325029466183
404	Csrp1	4.43285265898309
405	Fpgs	4.43240170956097
406	Pno1	4.42510555529941
