x	y
0	0
167	-0.00849872773536896
168	0.0734306091204906
18665	-0.867892546095794
18666	-0.827310786544592
19398	-0.864562694941538
19399	-0.800122033445609
19496	-0.805058420214057
19497	-0.729910199652623
19500	-0.730062871408348
19501	-0.654346018674459
19504	-0.654498690430184
19505	-0.578152515748261
19507	-0.578254296918744
19508	-0.501189809075032
19538	-0.502716526632283
19539	-0.420563487158816
19562	-0.421733970619376
19563	-0.335508467004169
19626	-0.338714573874398
19627	-0.233548386697451
19637	-0.234057292549868
19638	-0.12073920832911
19653	-0.121502567107736
19654	0.000407124681933824
19663	0
