x	y
0	0
3	-0.00015452766045122
4	0.026112250694107
10	0.0258031953732045
11	0.0504961492422783
13	0.0503931308019775
14	0.0725661449543452
54	0.070505776148329
55	0.0849754111460338
72	0.0840997544034769
73	0.0979386315621431
73	0.0979386315621431
74	0.111766209408842
96	0.110633006565533
97	0.123746142646998
99	0.123643124206698
100	0.136728819607663
105	0.13647127350691
106	0.149360352397966
110	0.149154315517365
111	0.161925532055866
130	0.160946856873008
131	0.173250546298163
162	0.1716537604735
163	0.183368505148912
213	0.180793044141392
214	0.191970490207415
239	0.190682759703655
240	0.201568990329331
261	0.200487296706172
262	0.211185836901721
264	0.21108281846142
265	0.221773299922854
288	0.220588587859394
289	0.231081281361857
357	0.227578654391629
358	0.237381853005087
383	0.236094122501327
384	0.245746347592007
487	0.240440897916516
488	0.249412147082545
548	0.246321593873521
549	0.255037148220814
549	0.255037148220814
550	0.263742335932952
559	0.263278752951598
560	0.271941572681121
568	0.271529498919917
569	0.280167060797272
587	0.279239894834565
588	0.287787373127641
624	0.285933041202226
625	0.294328434815166
753	0.287735254635914
754	0.295676023254992
771	0.294800366512435
772	0.302677190946589
777	0.302419644845837
778	0.310269031140232
801	0.309084319076773
802	0.316866377385486
825	0.315681665322027
826	0.323380566335754
861	0.32157774363049
862	0.329156031667888
871	0.328692448686534
872	0.336251250888277
891	0.335272575705419
892	0.342788326567872
1000	0.337225330791628
1001	0.344431703803127
1038	0.342525862657562
1039	0.34962911000237
1059	0.348598925599362
1060	0.355657387512641
1113	0.35292739884467
1114	0.359867594898534
1126	0.359249484256729
1127	0.366160895175031
1188	0.363018832745856
1189	0.369786283608683
1192	0.369631755948232
1193	0.376393798891081
1258	0.373045699581305
1259	0.379632435951987
1295	0.377778104026572
1296	0.384270715508458
1307	0.383704114086803
1308	0.390184063542671
1313	0.389926517441919
1314	0.396397444977449
1318	0.396191408096847
1319	0.402657469972352
1351	0.401009174927539
1352	0.407405537658779
1425	0.403645364587799
1426	0.409905522104949
1452	0.408566282381039
