x	y
0	0
26	-0.00132565135369398
27	0.0496965621948695
48	0.048625843793809
49	0.0923984683179779
200	0.0846994931484475
201	0.118067866299355
281	0.11398893905722
282	0.145176235193568
651	0.126362183289219
652	0.150789129501281
871	0.139623066175936
872	0.161974997370602
1078	0.151471759722104
1079	0.172132313693737
1580	0.146588031839864
1581	0.164238822441989
1766	0.154806303194551
1767	0.171579699605732
2013	0.159036998336165
2014	0.174889316354018
2206	0.165099890972894
2207	0.180223325770679
5707	0.00177025892725838
5708	0.00880095938551834
6936	-0.0538105737812588
6937	-0.0488498774225369
10567	-0.233931201034427
10568	-0.233640969772101
10829	-0.246948469899567
10830	-0.246215343069433
11104	-0.260185668873746
11105	-0.259054051042782
11936	-0.301423907770463
11937	-0.299042948896827
12857	-0.345950612181383
12858	-0.342077807498092
14189	-0.409940959489118
14190	-0.403798147060303
15069	-0.448615360133265
15070	-0.440849522745904
15271	-0.451097827441769
15272	-0.442979972532179
16407	-0.500849752779974
16408	-0.490189125646735
16569	-0.498397966721532
16570	-0.487399244990812
17373	-0.528341477183745
17374	-0.515046539926162
17629	-0.528048120510469
17630	-0.513825631922706
17770	-0.520963754596443
17771	-0.506258284337661
17804	-0.507940841825042
17805	-0.493110030924919
18007	-0.503409322211311
18008	-0.487712859565479
18230	-0.499031882662405
18231	-0.482450914388682
18488	-0.495554468154042
18489	-0.477609781948024
18645	-0.485563690070188
18646	-0.466643458963097
18957	-0.482500288616898
18958	-0.461472387053211
19059	-0.466622032696407
19060	-0.444498841936532
19227	-0.453013602554489
19228	-0.429226161830919
19325	-0.434171861112008
19326	-0.408849471074554
19346	-0.409869202885088
19347	-0.384118364987271
19402	-0.386922627466239
19403	-0.359683427950433
19410	-0.36004033408412
19411	-0.332540922690745
19432	-0.333611641091806
19433	-0.305699625993146
19441	-0.30610751871736
19442	-0.277876999112718
19449	-0.278233905246405
19450	-0.249746455330421
19456	-0.250052374873581
19457	-0.221334909632939
19466	-0.221793788947679
19467	-0.192776822430791
19496	-0.194255433556065
19497	-0.164018837926673
19517	-0.165038569737207
19518	-0.134007076659135
19538	-0.135026808469669
19539	-0.102909399480575
19546	-0.103266305614262
19547	-0.0705142354619755
19547	-0.0705142354619757
19548	-0.0377438735456314
19641	-0.0424856264646136
19642	0.00101973181053383
19663	0
