hit_position
76
168
171
382
393
735
1063
1795
5165
8536
9508
11688
14455
16520
17022
18131
18174
18272
18287
18375
18482
18666
18868
18996
19031
19235
19335
19399
19412
19431
19439
19497
19501
19507
19508
19530
19539
19561
19563
19581
19584
19627
19630
19631
19638
19644
19654
19658
19662
