x	y
0	0
1580	-0.0804071246819338
1581	-0.0171861765692314
17770	-0.841053861047603
17771	-0.788382352265926
18007	-0.800392530382974
18008	-0.744171521769022
18611	-0.774858544669786
18612	-0.707778270980788
18957	-0.725335522889185
18958	-0.650018563799722
19059	-0.655158512909136
19060	-0.575918487538877
19325	-0.589404492627936
19326	-0.498705693761962
19346	-0.499723505466797
19347	-0.407490107921388
19432	-0.411815807666935
19433	-0.311841585658944
19449	-0.312655835022812
19450	-0.210620541896348
19466	-0.211434791260216
19467	-0.107502895182348
19547	-0.111574142001686
19548	0.00580152671755729
19663	0
