x	y
0	0
75	-0.00382399428950186
76	0.0270214534619798
167	0.0223816737240508
168	0.0483937445497274
170	0.048291771368674
171	0.0742443683658031
381	0.0635371843551979
382	0.0839204491407181
392	0.0834105832354512
393	0.103593536327114
734	0.0862071089575123
735	0.102623273040937
1062	0.0859506579387088
1063	0.0999520008718399
1794	0.0626808031968284
1795	0.0739487208557388
5164	-0.0978251026286848
5165	-0.0924206395136727
8535	-0.264245449588623
8536	-0.262113681614639
9507	-0.311621661016056
9508	-0.310373665809887
11687	-0.421473446567548
11688	-0.420733287010683
14454	-0.561762196407512
14455	-0.558178820860153
16519	-0.663415143707244
16520	-0.656742133241719
17021	-0.682286415095591
17022	-0.674609463388542
18130	-0.731102605692116
18131	-0.72054462215233
18173	-0.722686058954451
18174	-0.711938268307115
18271	-0.716883967588204
18272	-0.705727857843619
18286	-0.706441670110992
18287	-0.695228198037569
18374	-0.699664031413391
18375	-0.688131506036362
18481	-0.693536084632191
18482	-0.681535607144416
18665	-0.690866153210801
18666	-0.677981689059289
18867	-0.688229993755154
18868	-0.674117347394186
18995	-0.680592644391076
18996	-0.665455522692741
19030	-0.667189066770648
19031	-0.651790103442903
19234	-0.662140381319821
19235	-0.644488696055367
19334	-0.649536368517509
19335	-0.630394283731242
19398	-0.633606438934423
19399	-0.61314691716587
19411	-0.613758756252191
19412	-0.592880406553006
19430	-0.593798165182486
19431	-0.572457614129289
19438	-0.572814520262976
19439	-0.55125719235378
19496	-0.554163428013801
19497	-0.53030432075523
19500	-0.53045728052681
19501	-0.506417635979506
19506	-0.506672568932139
19507	-0.482321636403292
19507	-0.482321636403292
19508	-0.45785412582815
19529	-0.458924844229211
19530	-0.43331821070886
19538	-0.433726103433074
19539	-0.40764300837412
19560	-0.408713726775181
19561	-0.381454692558216
19562	-0.381505679148743
19563	-0.354129601261472
19580	-0.354996373300426
19581	-0.32646951586229
19583	-0.326571489043343
19584	-0.297819693530226
19626	-0.299961130332347
19627	-0.26657149953226
19629	-0.266673472713314
19630	-0.231767963874167
19630	-0.231767963874167
19631	-0.19673157508054
19637	-0.1970374946237
19638	-0.161059685627563
19643	-0.161314618580196
19644	-0.123953647334082
19653	-0.124412526648822
19654	-0.0857069340141799
19657	-0.0858598937857601
19658	-0.0455023334534372
19661	-0.0456552932250174
19662	0
19663	0
