hit_position
4
11
14
55
73
74
97
100
106
111
131
163
214
240
262
265
289
358
384
488
549
550
560
569
588
625
754
772
778
802
826
862
872
892
1001
1039
1060
1114
1127
1189
1193
1259
1296
1308
1314
1319
1352
1426
1453
1538
1602
1663
1767
1787
2058
2106
2121
2135
2140
2141
2207
2228
2253
2322
2404
2472
2503
2609
2663
2772
2814
2856
2899
3054
3060
3144
3159
3172
3283
3538
3672
3836
3851
3895
4195
4275
4358
4420
4464
4531
4555
4662
4669
4684
4690
4704
4725
4735
4743
4829
4914
4984
5197
5212
5255
5261
5304
5354
5365
5371
5417
5444
5494
5550
5555
5625
5905
5924
5964
5978
6035
6100
6200
6226
6274
6313
6329
6377
6389
6395
6397
6482
6488
6553
6618
6858
6875
6919
6925
7022
7193
7361
7367
7368
7487
7513
7676
7700
7730
7776
8104
8221
8246
8247
8397
8592
8605
8607
8615
8761
8806
9066
9112
9116
9140
9189
9230
9235
9268
9289
9354
9389
9413
9432
9495
9502
9551
9581
9640
9769
9919
9999
10303
10308
10397
10478
10546
10584
10804
10935
11141
11191
11525
11662
11807
11859
11889
11964
12015
12029
12043
12076
12119
12272
12310
12390
12427
12578
12645
12750
13356
13600
13853
14240
14280
14315
14321
14929
15072
15249
15319
15439
15443
15826
15835
15949
15980
16314
16370
16453
16536
16581
16711
16893
17097
17116
17635
18049
18052
18222
18230
18474
18669
18738
19128
19190
19320
19545
